['89/150', '0.601193', '0.284080', '0.920595', '0.995158', '0.776068', '0.956086', '1.598396', '1.280598', '0.675700', '0.902900', '0.643800', '0.888400', '0:02:18']
['90/150', '0.586644', '0.275303', '0.921515', '0.995439', '0.779049', '0.957626', '1.607598', '1.286355', '0.672900', '0.903200', '0.643100', '0.890600', '0:02:18']
['91/150', '0.581361', '0.274873', '0.922115', '0.995338', '0.781030', '0.958607', '1.578276', '1.260218', '0.678200', '0.904900', '0.649100', '0.894100', '0:02:19']
['92/150', '0.569449', '0.267203', '0.924816', '0.995439', '0.784651', '0.960007', '1.582083', '1.261477', '0.685100', '0.905400', '0.648900', '0.892100', '0:02:18']
['93/150', '0.565070', '0.262305', '0.928017', '0.995639', '0.786592', '0.959307', '1.568268', '1.267316', '0.682700', '0.903100', '0.653300', '0.893100', '0:02:18']
['94/150', '0.556429', '0.262257', '0.927677', '0.995679', '0.788672', '0.960067', '1.591846', '1.277230', '0.679100', '0.903900', '0.648300', '0.891200', '0:02:18']
['95/150', '0.543587', '0.252983', '0.929497', '0.996219', '0.794094', '0.962268', '1.572231', '1.262655', '0.681800', '0.904400', '0.651000', '0.890900', '0:02:18']
['96/150', '0.541139', '0.250123', '0.930318', '0.996019', '0.794114', '0.960567', '1.558519', '1.248826', '0.683100', '0.905200', '0.657000', '0.896700', '0:02:19']
['97/150', '0.531673', '0.245305', '0.932939', '0.996439', '0.798055', '0.963348', '1.537474', '1.234445', '0.686000', '0.906700', '0.653700', '0.894000', '0:02:18']
['98/150', '0.523989', '0.240542', '0.934719', '0.996279', '0.798616', '0.963568', '1.548638', '1.239368', '0.686000', '0.908000', '0.650700', '0.894700', '0:02:19']
['99/150', '0.520175', '0.238613', '0.935179', '0.996559', '0.802217', '0.964149', '1.523064', '1.226686', '0.690500', '0.908300', '0.657700', '0.896800', '0:02:18']
