['136/150', '0.014657', '0.995319', '0.999960', '2.055595', '0.664700', '0.887200', '0:01:10']
['137/150', '0.013779', '0.996219', '0.999880', '2.060152', '0.664100', '0.887500', '0:01:11']
['138/150', '0.013660', '0.996139', '0.999920', '2.055730', '0.669800', '0.888700', '0:01:10']
['139/150', '0.013041', '0.996339', '0.999900', '2.072602', '0.668500', '0.887600', '0:01:10']
['140/150', '0.011651', '0.997159', '0.999980', '2.081347', '0.666500', '0.889200', '0:01:12']
['141/150', '0.011614', '0.996659', '0.999980', '2.072550', '0.670000', '0.888000', '0:01:08']
['142/150', '0.012120', '0.996419', '0.999960', '2.064300', '0.670300', '0.888500', '0:01:10']
['143/150', '0.011634', '0.997039', '0.999920', '2.080774', '0.668900', '0.889400', '0:01:13']
['144/150', '0.012346', '0.996519', '0.999980', '2.082944', '0.670900', '0.889100', '0:01:09']
['145/150', '0.011398', '0.996979', '0.999960', '2.046147', '0.670700', '0.888400', '0:01:09']
['146/150', '0.012558', '0.996339', '0.999980', '2.051136', '0.670400', '0.890400', '0:01:11']
['147/150', '0.012943', '0.996519', '0.999960', '2.075202', '0.669100', '0.891000', '0:01:09']
['148/150', '0.011519', '0.996719', '0.999940', '2.075588', '0.667000', '0.887500', '0:01:11']
['149/150', '0.012934', '0.996579', '0.999960', '2.064196', '0.671300', '0.890800', '0:01:10']
['150/150', '0.012288', '0.996379', '0.999920', '2.066830', '0.668400', '0.887900', '0:01:09']
