['139/150', '0.041371', '0.024232', '0.993154', '0.999940', '0.984576', '0.999698', '2.485967', '2.222403', '0.648000', '0.878200', '0.628400', '0.867200', '0:00:46']
['140/150', '0.041425', '0.024399', '0.993436', '0.999919', '0.983429', '0.999678', '2.374450', '2.213316', '0.649400', '0.878400', '0.633400', '0.873900', '0:00:46']
['141/150', '0.040702', '0.024290', '0.993476', '0.999919', '0.984657', '0.999779', '2.445098', '2.212106', '0.649100', '0.878900', '0.625300', '0.863200', '0:00:46']
['142/150', '0.040145', '0.023957', '0.993134', '0.999960', '0.985442', '0.999698', '2.379657', '2.206662', '0.649200', '0.879000', '0.628800', '0.871500', '0:00:46']
['143/150', '0.040055', '0.024263', '0.993315', '0.999859', '0.985120', '0.999718', '2.389205', '2.204333', '0.647400', '0.879100', '0.629200', '0.869400', '0:00:47']
['144/150', '0.039971', '0.023275', '0.993416', '0.999919', '0.984154', '0.999597', '2.345430', '2.199461', '0.649400', '0.878800', '0.634500', '0.870800', '0:00:47']
['145/150', '0.037685', '0.021716', '0.994463', '0.999919', '0.985885', '0.999738', '2.350664', '2.204264', '0.648900', '0.878900', '0.633800', '0.874600', '0:00:46']
['146/150', '0.038908', '0.022455', '0.994120', '0.999960', '0.984798', '0.999779', '2.360724', '2.200529', '0.650700', '0.879900', '0.630000', '0.870900', '0:00:47']
['147/150', '0.040212', '0.023585', '0.993516', '0.999940', '0.984596', '0.999678', '2.327419', '2.199096', '0.651200', '0.878200', '0.636100', '0.872900', '0:00:47']
['148/150', '0.039555', '0.021750', '0.994181', '0.999940', '0.985301', '0.999738', '2.312405', '2.193232', '0.649700', '0.878900', '0.637200', '0.872900', '0:00:47']
['149/150', '0.044211', '0.022019', '0.994141', '0.999940', '0.983892', '0.999698', '2.319866', '2.192140', '0.649300', '0.880200', '0.638600', '0.873800', '0:00:47']
['150/150', '0.058489', '0.023785', '0.993597', '0.999879', '0.978355', '0.999376', '2.376628', '2.201781', '0.648600', '0.879100', '0.633300', '0.871500', '0:00:46']
