['114/150', '0.142567', '0.070462', '0.979039', '0.999215', '0.954132', '0.998168', '4.092759', '3.207375', '0.616200', '0.856800', '0.551100', '0.817700', '0:00:47']
['115/150', '0.143827', '0.072200', '0.978959', '0.999215', '0.953266', '0.998067', '5.603200', '4.299471', '0.611000', '0.853500', '0.524200', '0.797200', '0:00:47']
['116/150', '0.142823', '0.070557', '0.978616', '0.998953', '0.954011', '0.997966', '4.078308', '3.485797', '0.614700', '0.859400', '0.564600', '0.828900', '0:00:47']
['117/150', '0.151954', '0.077332', '0.978012', '0.998168', '0.952038', '0.997080', '5.622165', '2.841204', '0.612300', '0.856100', '0.433300', '0.737400', '0:00:47']
['118/150', '0.137646', '0.067961', '0.980187', '0.998490', '0.957051', '0.997483', '4.552670', '3.229097', '0.611000', '0.857300', '0.518500', '0.798600', '0:00:47']
['119/150', '0.128375', '0.062399', '0.982563', '0.998510', '0.960454', '0.997624', '4.781622', '2.997213', '0.610100', '0.852800', '0.448300', '0.748800', '0:00:47']
['120/150', '0.132583', '0.064426', '0.981717', '0.998510', '0.959004', '0.997866', '5.880336', '3.700348', '0.611400', '0.857000', '0.429100', '0.729700', '0:00:47']
['121/150', '0.122876', '0.058669', '0.983187', '0.998832', '0.960797', '0.997946', '4.947075', '3.951731', '0.611300', '0.852800', '0.551200', '0.817300', '0:00:47']
['122/150', '0.121620', '0.058263', '0.983851', '0.998792', '0.962226', '0.997866', '5.436556', '3.428816', '0.613200', '0.858400', '0.466300', '0.763100', '0:00:47']
['123/150', '0.117047', '0.055978', '0.983972', '0.998933', '0.964401', '0.998248', '6.316360', '5.020350', '0.614600', '0.859000', '0.512200', '0.792800', '0:00:47']
['124/150', '0.119698', '0.057350', '0.984013', '0.998490', '0.964844', '0.998027', '6.035377', '5.130045', '0.610200', '0.856700', '0.547600', '0.814200', '0:00:47']
['125/150', '0.112843', '0.053271', '0.985583', '0.998832', '0.967240', '0.998168', '5.198029', '3.582277', '0.622300', '0.860400', '0.496200', '0.775900', '0:00:47']
['126/150', '0.105838', '0.049189', '0.986248', '0.998913', '0.968086', '0.998268', '5.479686', '4.715193', '0.616900', '0.858400', '0.566700', '0.832500', '0:00:47']
['127/150', '0.107861', '0.051026', '0.985825', '0.998711', '0.968106', '0.997986', '6.250428', '5.568875', '0.615000', '0.855200', '0.553500', '0.822900', '0:00:47']
['128/150', '0.101851', '0.048358', '0.987073', '0.998792', '0.970764', '0.997866', '5.315380', '4.809083', '0.617600', '0.858300', '0.587700', '0.845400', '0:00:47']
['129/150', '0.104447', '0.048666', '0.986529', '0.998832', '0.969857', '0.998007', '8.512427', '7.726622', '0.615300', '0.856200', '0.557800', '0.827000', '0:00:47']
['130/150', '0.098909', '0.045712', '0.987798', '0.998893', '0.971166', '0.998309', '4.786225', '4.164557', '0.618000', '0.859100', '0.577300', '0.838900', '0:00:47']
['131/150', '0.096702', '0.044701', '0.987597', '0.998812', '0.971911', '0.998389', '6.659319', '5.533001', '0.616700', '0.857700', '0.537200', '0.802400', '0:00:47']
['132/150', '0.094790', '0.042725', '0.988623', '0.999154', '0.971750', '0.998349', '5.975825', '5.243893', '0.621000', '0.858500', '0.568400', '0.824400', '0:00:47']
['133/150', '0.092648', '0.041748', '0.988462', '0.999094', '0.974005', '0.998510', '10.989464', '10.267718', '0.615100', '0.856500', '0.564800', '0.831800', '0:00:47']
['134/150', '0.102044', '0.047376', '0.987476', '0.998711', '0.970864', '0.998248', '13.952177', '13.545600', '0.616000', '0.856800', '0.579300', '0.838500', '0:00:47']
['135/150', '0.096851', '0.043873', '0.987798', '0.998953', '0.973321', '0.998349', '7.034893', '6.558177', '0.619300', '0.858600', '0.577900', '0.835000', '0:00:47']
['136/150', '0.094546', '0.041658', '0.988946', '0.998812', '0.973864', '0.998188', '8.675072', '8.189307', '0.613600', '0.856700', '0.577200', '0.837800', '0:00:47']
['137/150', '0.088973', '0.040030', '0.988986', '0.999013', '0.975455', '0.998631', '5.492292', '5.095645', '0.616900', '0.858200', '0.589300', '0.846500', '0:00:47']
['138/150', '0.088673', '0.039411', '0.989127', '0.999033', '0.974247', '0.998691', '6.743980', '6.457329', '0.615900', '0.858400', '0.597000', '0.852100', '0:00:47']
['139/150', '0.088137', '0.037696', '0.989832', '0.999033', '0.976039', '0.998510', '9.614267', '9.317974', '0.616000', '0.857200', '0.587100', '0.843200', '0:00:47']
['140/150', '0.087183', '0.038778', '0.990295', '0.998993', '0.977005', '0.998651', '5.136623', '4.879225', '0.619500', '0.861100', '0.602700', '0.852600', '0:00:47']
['141/150', '0.085080', '0.037486', '0.990295', '0.999074', '0.977267', '0.998631', '4.659030', '4.424757', '0.617700', '0.859100', '0.605000', '0.854000', '0:00:47']
['142/150', '0.085149', '0.037486', '0.990275', '0.999195', '0.976059', '0.998691', '7.574276', '7.317066', '0.615400', '0.858200', '0.596700', '0.851900', '0:00:48']
['143/150', '0.087555', '0.037983', '0.989711', '0.998973', '0.975777', '0.998389', '5.331353', '5.127769', '0.616500', '0.860600', '0.602900', '0.853600', '0:00:48']
['144/150', '0.085166', '0.036892', '0.989993', '0.998973', '0.976764', '0.998812', '3.577424', '3.365723', '0.619400', '0.862400', '0.603400', '0.852100', '0:00:48']
['145/150', '0.088764', '0.039166', '0.989368', '0.998933', '0.975032', '0.998631', '4.149146', '3.895835', '0.617900', '0.860300', '0.594700', '0.848300', '0:00:48']
['146/150', '0.086165', '0.037730', '0.990073', '0.999114', '0.976683', '0.998570', '8.048731', '7.803481', '0.616600', '0.858200', '0.597200', '0.849500', '0:00:48']
['147/150', '0.086281', '0.036992', '0.990375', '0.999013', '0.977348', '0.998731', '5.087353', '4.884135', '0.615700', '0.858700', '0.602100', '0.853500', '0:00:48']
['148/150', '0.091179', '0.036875', '0.990053', '0.998913', '0.974650', '0.998772', '5.230870', '5.040685', '0.618000', '0.859700', '0.600500', '0.855100', '0:00:47']
['149/150', '0.109912', '0.039091', '0.990134', '0.998752', '0.970884', '0.998389', '7.866314', '7.643090', '0.617100', '0.857600', '0.599100', '0.853100', '0:00:49']
['150/150', '0.161629', '0.035759', '0.990778', '0.998973', '0.954836', '0.998369', '6.381406', '6.029365', '0.617500', '0.859500', '0.592500', '0.849800', '0:00:48']
