['112/150', '0.114808', '0.068567', '0.979623', '0.999376', '0.960293', '0.998611', '4.239027', '2.287462', '0.621900', '0.863400', '0.430000', '0.738700', '0:00:47']
['113/150', '0.105935', '0.064820', '0.980287', '0.999497', '0.962105', '0.998872', '4.533686', '2.199399', '0.629500', '0.867000', '0.471700', '0.747200', '0:00:48']
['114/150', '0.102140', '0.062772', '0.981395', '0.999416', '0.964522', '0.998872', '2.682885', '2.238799', '0.623700', '0.865700', '0.595800', '0.853300', '0:00:50']
['115/150', '0.095912', '0.057664', '0.982663', '0.999577', '0.965730', '0.999094', '3.080154', '2.260029', '0.624500', '0.868100', '0.572300', '0.830600', '0:00:49']
['116/150', '0.094842', '0.056860', '0.983006', '0.999617', '0.965407', '0.998973', '3.018659', '2.236123', '0.625000', '0.868500', '0.559000', '0.820400', '0:00:48']
['117/150', '0.089062', '0.052799', '0.984395', '0.999537', '0.966857', '0.998973', '4.020376', '2.215674', '0.626700', '0.871500', '0.484900', '0.775400', '0:00:47']
['118/150', '0.085963', '0.050731', '0.984697', '0.999557', '0.968005', '0.998993', '3.191493', '2.275240', '0.621900', '0.865500', '0.560800', '0.824900', '0:00:47']
['119/150', '0.081317', '0.048176', '0.985482', '0.999799', '0.969475', '0.999396', '3.028662', '2.265259', '0.625700', '0.868500', '0.585700', '0.845000', '0:00:47']
['120/150', '0.078253', '0.046155', '0.986590', '0.999779', '0.970884', '0.999235', '5.237540', '2.262152', '0.624600', '0.870200', '0.335000', '0.649800', '0:00:47']
['121/150', '0.076821', '0.045395', '0.986932', '0.999658', '0.973139', '0.999255', '3.742086', '2.244660', '0.627400', '0.871500', '0.533400', '0.808200', '0:00:47']
['122/150', '0.074506', '0.043383', '0.987113', '0.999779', '0.973099', '0.999275', '3.300948', '2.279391', '0.625200', '0.869800', '0.556400', '0.816600', '0:00:48']
['123/150', '0.069110', '0.040267', '0.988160', '0.999738', '0.974348', '0.999275', '2.968874', '2.317374', '0.627600', '0.869200', '0.588000', '0.841700', '0:00:47']
['124/150', '0.068526', '0.040685', '0.988140', '0.999698', '0.975153', '0.999336', '2.634648', '2.280017', '0.626000', '0.869200', '0.592200', '0.844500', '0:00:46']
['125/150', '0.064896', '0.038812', '0.988583', '0.999738', '0.977066', '0.999376', '2.842688', '2.246805', '0.630400', '0.871600', '0.584000', '0.844600', '0:00:47']
['126/150', '0.063478', '0.036282', '0.989912', '0.999839', '0.975556', '0.999275', '3.105820', '2.252682', '0.631700', '0.871600', '0.568100', '0.834800', '0:00:47']
['127/150', '0.061691', '0.035470', '0.990194', '0.999859', '0.978073', '0.999436', '2.899563', '2.242056', '0.629000', '0.871600', '0.585600', '0.839000', '0:00:48']
