['99/150', '0.715974', '0.363073', '0.901639', '0.995530', '0.691467', '0.919640', '1.682532', '1.282260', '0.659600', '0.897800', '0.594900', '0.870000', '0:00:38']
['100/150', '0.704674', '0.356698', '0.902686', '0.995610', '0.695937', '0.918009', '1.680087', '1.268942', '0.651700', '0.896400', '0.604900', '0.872800', '0:00:37']
['101/150', '0.696742', '0.352011', '0.906049', '0.995590', '0.697225', '0.920224', '1.643912', '1.301525', '0.653100', '0.894000', '0.605800', '0.871300', '0:00:37']
['102/150', '0.688985', '0.350638', '0.906612', '0.995228', '0.701273', '0.921915', '1.586636', '1.254568', '0.663500', '0.899300', '0.604200', '0.874500', '0:00:37']
['103/150', '0.677368', '0.340812', '0.912170', '0.995490', '0.702742', '0.923063', '1.664520', '1.298686', '0.655500', '0.895000', '0.596100', '0.862800', '0:00:37']
['104/150', '0.677581', '0.345789', '0.906995', '0.995711', '0.704333', '0.922761', '1.568628', '1.239108', '0.668200', '0.901900', '0.609300', '0.873900', '0:00:38']
['105/150', '0.666271', '0.335608', '0.909713', '0.995429', '0.706306', '0.924291', '1.549927', '1.227062', '0.670300', '0.901800', '0.617700', '0.878200', '0:00:37']
['106/150', '0.652306', '0.330034', '0.914083', '0.996033', '0.710676', '0.924915', '1.533240', '1.219782', '0.670500', '0.901600', '0.617500', '0.879800', '0:00:37']
['107/150', '0.648120', '0.326600', '0.913881', '0.996194', '0.712488', '0.926486', '1.580445', '1.263014', '0.662300', '0.898800', '0.610700', '0.874800', '0:00:37']
['108/150', '0.644468', '0.325094', '0.914787', '0.995832', '0.713334', '0.926405', '1.543355', '1.235527', '0.668500', '0.901900', '0.620200', '0.878800', '0:00:37']
['109/150', '0.634636', '0.320005', '0.916418', '0.996597', '0.715810', '0.927795', '1.559182', '1.243301', '0.665800', '0.903000', '0.612600', '0.871700', '0:00:37']
['110/150', '0.626044', '0.315494', '0.918271', '0.996718', '0.719998', '0.928298', '1.541455', '1.241244', '0.666500', '0.900800', '0.608000', '0.873400', '0:00:37']
['111/150', '0.629792', '0.321153', '0.916680', '0.996456', '0.716515', '0.927895', '1.558952', '1.263031', '0.665200', '0.901300', '0.615700', '0.875400', '0:00:38']
['112/150', '0.618710', '0.315361', '0.917163', '0.996275', '0.723441', '0.929869', '1.514014', '1.226103', '0.674500', '0.901400', '0.620600', '0.880800', '0:00:38']
['113/150', '0.678908', '0.363007', '0.906673', '0.994382', '0.713233', '0.927332', '1.625421', '1.262237', '0.659700', '0.899000', '0.601800', '0.869400', '0:00:37']
['114/150', '0.652796', '0.338865', '0.910076', '0.995711', '0.713475', '0.926848', '1.511624', '1.217813', '0.671400', '0.902100', '0.613500', '0.880200', '0:00:38']
['115/150', '0.611249', '0.309780', '0.920466', '0.997121', '0.721247', '0.931540', '1.486135', '1.207444', '0.676400', '0.904000', '0.622100', '0.882400', '0:00:38']
['116/150', '0.597230', '0.301471', '0.921835', '0.997604', '0.726985', '0.932426', '1.480434', '1.199175', '0.674100', '0.905400', '0.616500', '0.879300', '0:00:37']
['117/150', '0.589075', '0.299181', '0.923023', '0.996879', '0.729824', '0.932486', '1.472905', '1.197473', '0.675500', '0.908300', '0.626300', '0.884100', '0:00:38']
['118/150', '0.581251', '0.292406', '0.924533', '0.997382', '0.732704', '0.933996', '1.487577', '1.208303', '0.675300', '0.905600', '0.623000', '0.883900', '0:00:38']
['119/150', '0.576965', '0.291910', '0.923526', '0.997241', '0.731375', '0.933493', '1.481789', '1.215670', '0.674800', '0.904900', '0.623200', '0.880800', '0:00:38']
['120/150', '0.575847', '0.293028', '0.924432', '0.996819', '0.734939', '0.932849', '1.509867', '1.222948', '0.672500', '0.903300', '0.621000', '0.877300', '0:00:38']
['121/150', '0.568207', '0.287083', '0.925459', '0.997664', '0.734456', '0.935023', '1.483355', '1.212717', '0.675100', '0.907600', '0.625800', '0.882900', '0:00:37']
['122/150', '0.566127', '0.287149', '0.926123', '0.997705', '0.735925', '0.935869', '1.502394', '1.231282', '0.671500', '0.906000', '0.620600', '0.881200', '0:00:38']
['123/150', '0.558854', '0.283957', '0.926385', '0.997523', '0.738623', '0.935547', '1.497239', '1.224814', '0.673000', '0.906200', '0.620200', '0.882300', '0:00:38']
['124/150', '0.554080', '0.282306', '0.926184', '0.997342', '0.743436', '0.936131', '1.486961', '1.216220', '0.676900', '0.905900', '0.623000', '0.879800', '0:00:37']
['125/150', '0.551223', '0.280471', '0.927936', '0.997584', '0.743033', '0.936191', '1.463394', '1.197925', '0.680100', '0.907000', '0.623200', '0.882100', '0:00:37']
['126/150', '0.548448', '0.281787', '0.925801', '0.997503', '0.744825', '0.937339', '1.466754', '1.209695', '0.679500', '0.906900', '0.623100', '0.883500', '0:00:38']
['127/150', '0.544132', '0.276625', '0.928681', '0.997705', '0.743174', '0.937601', '1.509169', '1.248333', '0.671600', '0.904100', '0.617900', '0.879300', '0:00:37']
['128/150', '0.538984', '0.275676', '0.930110', '0.997604', '0.745349', '0.937822', '1.463708', '1.209159', '0.675900', '0.907800', '0.627900', '0.884000', '0:00:38']
['129/150', '0.540791', '0.274717', '0.929627', '0.997845', '0.744422', '0.938466', '1.462961', '1.206480', '0.678100', '0.907000', '0.629300', '0.885500', '0:00:37']
['130/150', '0.534774', '0.273349', '0.931057', '0.997986', '0.746960', '0.939091', '1.456770', '1.206584', '0.680300', '0.908800', '0.628500', '0.886200', '0:00:37']
['131/150', '0.530919', '0.270430', '0.931439', '0.997946', '0.747362', '0.940440', '1.449697', '1.201718', '0.676200', '0.908700', '0.631400', '0.887400', '0:00:37']
['132/150', '0.526615', '0.270808', '0.930493', '0.997705', '0.749436', '0.939030', '1.450263', '1.200924', '0.677500', '0.907200', '0.630900', '0.885900', '0:00:37']
['133/150', '0.524950', '0.267773', '0.931661', '0.998268', '0.751550', '0.940178', '1.450460', '1.201408', '0.680900', '0.908800', '0.630000', '0.887000', '0:00:37']
['134/150', '0.520126', '0.265902', '0.931600', '0.997966', '0.753785', '0.939514', '1.447643', '1.200769', '0.677600', '0.909300', '0.629700', '0.887900', '0:00:37']
['135/150', '0.520223', '0.267542', '0.931419', '0.997845', '0.753242', '0.939493', '1.442236', '1.195970', '0.679300', '0.909400', '0.629800', '0.886700', '0:00:37']
['136/150', '0.515399', '0.265379', '0.931681', '0.997866', '0.755718', '0.942051', '1.444264', '1.198489', '0.679300', '0.907500', '0.629100', '0.887100', '0:00:37']
['137/150', '0.514125', '0.263306', '0.934560', '0.997906', '0.754853', '0.940641', '1.444196', '1.201657', '0.679500', '0.908300', '0.630700', '0.886100', '0:00:37']
['138/150', '0.512617', '0.263266', '0.933292', '0.997906', '0.754752', '0.941205', '1.438691', '1.196975', '0.679900', '0.908600', '0.631600', '0.887200', '0:00:37']
['139/150', '0.511710', '0.259999', '0.934480', '0.998429', '0.754591', '0.941748', '1.446596', '1.205155', '0.677100', '0.908100', '0.629900', '0.886500', '0:00:37']
['140/150', '0.510446', '0.263240', '0.933131', '0.997825', '0.758839', '0.939735', '1.440832', '1.199761', '0.679300', '0.908200', '0.630600', '0.886700', '0:00:37']
['141/150', '0.509468', '0.261882', '0.934359', '0.998268', '0.754410', '0.942433', '1.444323', '1.200498', '0.679700', '0.909900', '0.630800', '0.887000', '0:00:37']
['142/150', '0.507768', '0.261160', '0.933493', '0.998148', '0.755457', '0.941587', '1.440016', '1.199206', '0.678800', '0.909200', '0.631700', '0.888400', '0:00:37']
['143/150', '0.504513', '0.259910', '0.933715', '0.998188', '0.758417', '0.942171', '1.441645', '1.200483', '0.679900', '0.909000', '0.630000', '0.887700', '0:00:37']
['144/150', '0.505039', '0.259606', '0.933332', '0.998127', '0.755859', '0.943017', '1.443002', '1.201224', '0.678300', '0.909400', '0.630800', '0.887700', '0:00:37']
['145/150', '0.501029', '0.258080', '0.934339', '0.998369', '0.759625', '0.942493', '1.437474', '1.196551', '0.678800', '0.909000', '0.630900', '0.887200', '0:00:38']
['146/150', '0.503392', '0.260070', '0.934238', '0.998208', '0.756282', '0.942091', '1.435871', '1.196255', '0.681000', '0.909200', '0.632400', '0.888300', '0:00:38']
['147/150', '0.507929', '0.261694', '0.933735', '0.998188', '0.755215', '0.940581', '1.440219', '1.199665', '0.679500', '0.909300', '0.631300', '0.888400', '0:00:37']
['148/150', '0.502488', '0.258366', '0.935023', '0.998288', '0.758054', '0.942151', '1.439621', '1.199473', '0.678900', '0.908700', '0.631000', '0.888100', '0:00:37']
['149/150', '0.505715', '0.260014', '0.935285', '0.998208', '0.758356', '0.940883', '1.437534', '1.197938', '0.678300', '0.909100', '0.632300', '0.888000', '0:00:37']
['150/150', '0.504278', '0.260939', '0.932949', '0.998309', '0.757752', '0.943460', '1.440522', '1.199662', '0.679200', '0.909800', '0.632500', '0.888400', '0:00:37']
